Date,Open,High,Low,Close,Volume
2009-09-30 00:00:00+05:30,219.2,231.34,218.0,228.24,98740059
2009-10-01 00:00:00+05:30,220.4,234.74,220.4,233.27,15371270
2009-10-05 00:00:00+05:30,230.4,233.18,227.32,228.11,4599159
2009-10-06 00:00:00+05:30,229.96,231.44,226.42,228.98,3139784
2009-10-07 00:00:00+05:30,230.76,232.14,228.0,228.32,3491079
2009-10-08 00:00:00+05:30,229.0,235.96,228.4,234.04,3940865
2009-10-09 00:00:00+05:30,235.2,242.0,233.0,239.13,5237084
2009-10-12 00:00:00+05:30,236.8,242.0,235.2,239.14,2323484
2009-10-14 00:00:00+05:30,239.6,245.55,237.0,238.09,2906105
2009-10-15 00:00:00+05:30,239.6,240.98,236.01,236.91,1508949
2009-10-16 00:00:00+05:30,237.73,240.6,236.4,238.2,1565054
2009-10-20 00:00:00+05:30,239.2,240.7,234.4,235.57,784704
2009-10-21 00:00:00+05:30,236.8,238.8,231.4,233.22,1545489
2009-10-22 00:00:00+05:30,233.0,236.88,231.6,232.99,1692065
2009-10-23 00:00:00+05:30,234.98,235.89,232.24,232.94,1084644
2009-10-26 00:00:00+05:30,230.26,235.0,229.0,231.28,1047764
2009-10-27 00:00:00+05:30,230.01,230.01,222.84,228.07,2037969
2009-10-28 00:00:00+05:30,228.2,228.2,222.2,226.04,1215704
2009-10-29 00:00:00+05:30,225.05,227.58,223.02,226.45,326229
2009-10-30 00:00:00+05:30,229.0,229.0,222.0,224.12,585500
2009-11-03 00:00:00+05:30,220.4,225.5,220.4,224.0,899844
2009-11-04 00:00:00+05:30,224.98,231.8,224.0,230.17,1422729
2009-11-05 00:00:00+05:30,225.4,230.8,225.4,229.78,249065
2009-11-06 00:00:00+05:30,231.0,233.71,229.25,231.3,1475444
2009-11-09 00:00:00+05:30,230.01,233.4,230.01,233.01,469850
2009-11-10 00:00:00+05:30,231.4,233.98,228.4,229.55,1430654
2009-11-11 00:00:00+05:30,229.4,238.2,229.08,236.27,1626630
